business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""",Uptown,"""600 E 4th St""",Charlotte,NC,28202,35.2216474,-80.8393449,3.5,7,1,Restaurants;American (Traditional)
l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""",Yonge and Eglinton,"""2459 Yonge St""",Toronto,ON,M4P 2H6,43.7113993,-79.3993388,3,12,0,Italian;French;Restaurants
1K4qrnfyzKzGgJPBEcJaNQ,"""Chula Taberna Mexicana""",Leslieville,"""1058 Gerrard Street E""",Toronto,ON,M4M 3A6,43.6692562,-79.3359022,3.5,39,1,Tiki Bars;Nightlife;Mexican;Restaurants;Bars
nbhBRhZtdaZmMMeb2i02pg,"""Sunnyside Grill""",,"""2777 Steeles Avenue W""",Toronto,ON,M3J 3K5,43.7818155,-79.4904331,5,3,1,Restaurants;Breakfast & Brunch
1_3nOM7s9WqnJWTNu2-i8Q,"""Le Bistro Balmoral""",Ville-Marie,"""305 Rue Sainte-Catherine O""",Montreal,QC,H2X 2A1,45.50677221,-73.56672497,3,8,0,Arts & Entertainment;Festivals;Restaurants;French;Gastropubs
FXHfcFVEfI1vVngW2gVOpw,"""Bampot House of Tea & Board Games""",,"""201 Harbord Street""",Toronto,ON,M5S 1H6,43.66158168,-79.40887846,4,55,1,Coffee & Tea;Restaurants;Food;Mediterranean;Tea Rooms
Pd52CjgyEU3Rb8co6QfTPw,"""Flight Deck Bar & Grill""",Southeast,"""6730 S Las Vegas Blvd""",Las Vegas,NV,89119,36.0669136,-115.1708484,4,13,1,Nightlife;Bars;Barbeque;Sports Bars;American (New);Restaurants
4srfPk1s8nlm1YusyDUbjg,"""Subway""",Southeast,"""6889 S Eastern Ave, Ste 101""",Las Vegas,NV,89119,36.0646523,-115.1189541,2.5,6,1,Fast Food;Restaurants;Sandwiches
n7V4cD-KqqE3OXk0irJTyA,"""GameWorks""",Southeast,"""6587 Las Vegas Blvd S, Ste 171""",Las Vegas,NV,89119,36.06825852,-115.1788768,3,349,1,Arcades;Arts & Entertainment;Gastropubs;Restaurants;American (New)
c_XbaJqhm-5ycSBOkVUBmg,"""Don Taco""",Ville-Marie,"""1855 Rue Saint Catherine Ouest, H3H 1M2""",Montreal,QC,H3H 1M2,45.4932164,-73.5803794,3.5,33,1,Restaurants;Mexican
EJFdWX908N8Yc2XG0Lky8A,"""River Moon Cafe""",Lawrenceville,"""104 43rd St""",Pittsburgh,PA,15201,40.472735,-79.9632647,4,5,0,Cafes;Restaurants
o1fTwfqN0sDFNpV1CkOPPg,"""Crazy Mocha Coffee""",Lawrenceville,"""4032 Butler St""",Pittsburgh,PA,15201,40.4692949,-79.9612733,3.5,16,1,Restaurants;Sandwiches;Coffee & Tea;Food
#NAME?,"""Bruegger's Bagels""",,"""5217 Clairton Blvd""",Pittsburgh,PA,15236,40.3441937,-79.970963,2.5,5,1,Breakfast & Brunch;Bagels;Restaurants;Bakeries;Sandwiches;Food
kKx8iCJkomVQBdWHnmmOiA,"""Little Caesars Pizza""",,"""10720 E Southern Ave""",Mesa,AZ,85209,33.3948766,-111.6001938,2.5,4,1,Restaurants;Pizza
B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""",Sherman,"""2302 Packers Ave""",Madison,WI,53704,43.1233893,-89.3553901,4,34,1,American (Traditional);Nightlife;Dive Bars;Restaurants;Bars
VXH7zXcZzXlmAVN8GSjGRQ,"""Thai Express""",,"""4700 Keele Street""",Toronto,ON,M3J 1P3,43.77487768,-79.49461873,3,5,1,Imported Food;Specialty Food;Thai;Ethnic Food;Food;Restaurants
F0fEKpTk7gAmuSFI0KW1eQ,"""Cafe Mastrioni""",Spring Valley,"""4250 S Rainbow Blvd, Ste 1007""",Las Vegas,NV,89103,36.1110572,-115.2416881,1.5,3,0,Italian;Restaurants
dTWfATVrBfKj7Vdn0qWVWg,"""Flavor Cuisine""",Scarborough,"""8 Glen Watford Drive""",Toronto,ON,M1S 2C1,43.7870613,-79.2761657,3,6,1,Restaurants;Chinese;Food Court
HAX1zec191t7QkT2sBZ76A,"""La Isla Cuban Restaurant""",,"""1816 Galerea Blvd, Ste D""",Charlotte,NC,28270,35.137223,-80.734594,3,4,0,Restaurants;Cuban
VdlPZg2NAu8t8GkdbPLecg,"""Tandoori Times Indian Bistro""",,"""8140 N Hayden Rd, Ste H115""",Scottsdale,AZ,85258,33.55521186,-111.9004563,3.5,263,1,Restaurants;Gluten-Free;Indian;Seafood
c7X2SdKxVJMaOnFROO8WEg,"""Finga Lickin' Caribbean Eatery""",,"""2838 The Plz""",Charlotte,NC,28205,35.236823,-80.801084,4.5,21,1,Pizza;Food;Internet Cafes;Restaurants;Caribbean
